Quý,I. Lưu chuyển tiền từ hoạt động kinh doanh,1. Lợi nhuận trước thuế,2. Điều chỉnh cho các khoản, Khấu hao TSCĐ và BĐSĐT, Các khoản dự phòng," Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ"," Lãi, lỗ từ hoạt động đầu tư", Chi phí lãi vay, Các khoản điều chỉnh khác,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động," Tăng, giảm các khoản phải thu"," Tăng, giảm hàng tồn kho"," Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)"," Tăng, giảm chi phí trả trước"," Tăng, giảm chứng khoán kinh doanh", Tiền lãi vay đã trả, Thuế thu nhập doanh nghiệp đã nộp, Tiền thu khác từ hoạt động kinh doanh, Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,II. Lưu chuyển tiền từ hoạt động đầu tư,"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",5.Tiền chi đầu tư góp vốn vào đơn vị khác,6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",Lưu chuyển tiền thuần từ hoạt động đầu tư,III. Lưu chuyển tiền từ hoạt động tài chính,"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","2.Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",3.Tiền thu từ đi vay,4.Tiền chi trả nợ gốc vay,5.Tiền chi trả nợ gốc thuê tài chính,"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",7. Tiền thu từ vốn góp của cổ đông không kiểm soát,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),Tiền và tương đương tiền đầu kỳ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Tiền và tương đương tiền cuối kỳ
'1/2018,,"2,608,439,205,997",,"556,108,322,687","-7,296,315,043","38,197,623,898","-46,934,532,354","118,019,669,890",,"3,266,533,975,075","82,342,161,661","543,802,130,814","-243,975,167,874","-268,670,700,316",,"-111,597,863,515","-331,943,891,954",,"-181,620,568,095","2,754,870,075,796",,"-2,661,214,218,378","56,838,470,987","-2,614,873,739,992","5,440,337,241,859","-115,947,860,804",,"344,686,537,986","449,826,431,658",,,,"8,465,066,041,528","-9,270,797,786,046",,"-642,223,602",,"-806,373,968,120","2,398,322,539,334","4,264,641,954,689","3,965,720","6,662,968,459,743"
'2/2018,,"5,185,657,207,096",,"1,121,453,649,677","-7,722,462,480","5,083,990,459","-88,468,742,721","253,239,764,731",,"6,469,243,406,762","-88,944,177,405,567","-633,113,933,274","692,489,150,722","-518,751,985,534",,"-251,049,511,542","-434,940,130,822",,"-220,235,058,547","421,420,016,370,933",,"-9,196,837,266,526","62,338,608,404","-6,531,230,706,913","8,693,960,165,928","-11,594,786,080,433","15,000,000,000","565,283,096,176","-650,743,396,373,533",,"11,424,719,202",,"22,496,773,611,395","-19,157,519,047,566",,"-3,116,415,899",,"3,347,562,867,132","1,054,329,067,106","4,264,641,954,689","67,203,359","5,319,038,225,154"
'3/2018,,"8,033,743,270,939",,"1,706,232,790,598","-54,816,830,955","26,500,547,308","-86,417,297,943","394,925,109,747",,"10,020,167,589,694","-416,567,559,123","-2,488,722,474,387","724,893,599,449","-502,015,009,136",,"-382,391,479,426","-846,852,929,030",,"-236,144,993,384","5,872,366,744,657",,"-19,840,307,745,526","63,247,251,268","-9,833,961,263,402","13,849,693,202,984","-115,947,860,804","15,000,000,000","822,834,837,866","-15,039,441,577,614",,"11,424,719,202",,"37,676,280,013,260","-28,805,393,679,725",,"-4,352,809,006",,"8,877,958,243,731","-289,116,589,226","4,264,641,954,689","626,302,799","3,976,151,668,262"
'4/2018,,"10,071,072,872,302",,"2,284,103,602,540","-72,990,493,823","30,605,486,896","-153,355,116,675","539,861,243,640",,"12,699,297,594,880","-2,128,942,255,946","-1,596,733,722,838","1,459,757,188,757","-500,731,220,764",,"-611,767,789,386","-1,416,433,238,395",,"-304,001,386,852","7,600,445,169,456",,"-27,594,065,633,381","107,767,139,609","-11,295,502,021,543","17,443,013,202,984","-116,086,794,493","17,599,680,288","946,194,687,307","-20,491,079,739,229",,"11,424,719,202",,"53,472,014,216,173","-42,335,009,094,686",,"-5,918,198,429",,"11,142,511,642,260","-1,748,122,927,513","4,264,641,954,689","-901,891,719","2,515,617,135,457"
'1/2019,,"2,170,940,228,673",,"583,138,700,857","-26,374,697,757","-14,499,415,586","-33,470,504,380","185,199,221,610",,"2,864,933,533,417","-1,145,022,952,518","2,196,908,631,444","-1,160,255,462,159","66,109,848,557",,"-143,138,746,017","-374,604,421,127",,"-171,033,086,219","2,133,897,345,378",,"-5,336,201,548,793","2,364,808,068","-2,810,200,888,442","3,322,292,650,156",,,"106,399,394,935","-4,715,345,584,076",,,,"19,848,673,018,339","-13,671,770,034,245",,"-217,727,679",,"6,176,685,256,415","3,595,237,017,717","2,515,617,135,457","25,057,778","6,110,879,210,952"
'2/2019,,"4,650,752,821,263",,"1,196,447,661,796","-23,497,683,649","34,022,460,287","-146,382,663,465","400,588,368,470",,"6,111,938,702,745","-1,119,995,750,580","-581,964,195,082","1,256,292,600,302","76,455,132,779",,"-331,344,192,885","-622,313,682,491",,"-247,157,542,967","4,541,903,333,778",,"-12,530,998,359,037","16,747,516,373","-4,044,518,221,229","5,224,514,485,704",,,"237,155,029,593","-11,097,099,548,596",,,,"32,796,238,864,976","-22,849,301,380,358",,"-7,036,219,139",,"9,939,901,265,479","3,384,705,050,661","2,515,617,135,457","-246,114,548","5,900,076,071,570"
'3/2019,,"6,811,667,551,745",,"1,834,814,990,013","-21,052,169,735","15,037,987,627","-297,060,991,102","666,483,573,333",,"9,009,890,941,881","-752,028,690,044","-4,912,100,165,401","-22,310,889,510","120,396,365,287",,"-605,358,467,387","-954,397,108,716",,"-301,635,719,228","1,582,456,266,882",,"-16,296,485,681,155","11,693,922,985","-3,829,255,044,779","5,753,755,815,247",,,"393,280,634,323","-13,967,010,353,379",,,,"50,689,380,372,461","-36,835,223,808,711",,"-12,371,638,565",,"13,841,784,925,185","1,457,230,838,688","2,515,617,135,457","95,678,065","3,972,943,652,210"
'4/2019,,"9,096,664,209,759",,"2,638,158,473,868","-5,772,614,376","8,851,109,534","-420,899,468,893","936,710,218,359",,"12,253,711,928,251","-131,021,441,026","-5,132,237,175,023","4,130,447,847,194","-10,042,863,222",,"-867,276,241,172","-1,550,521,269,014",,"-339,029,599,830","8,354,031,186,158",,"-21,622,009,477,988","22,376,974,809","-4,447,553,072,509","6,832,224,480,334",,,"516,748,013,688","-18,698,213,081,666",,"85,000,000",,"69,549,284,644,057","-57,143,681,828,616",,"-12,618,345,548",,"12,393,069,469,893","2,048,887,574,385","2,515,617,135,457","397,603,017","4,564,902,312,859"
'1/2020,,"2,657,091,220,016",,"1,091,959,044,244","22,391,252,573","281,070,672,466","-61,696,545,888","481,082,874,292",,"4,471,898,517,703","-1,577,050,200,596","53,050,182,496","-1,211,555,601,127","37,163,563,730",,"-374,789,631,415","-432,145,153,255",,"-252,203,233,893","714,368,443,643",,"-3,447,607,366,037","15,967,887,769","-1,034,707,105,440","800,412,234,367",,,"69,433,321,558","-3,596,501,027,783",,,,"16,924,270,152,854","-12,424,802,707,315",,"-4,973,046,084",,"4,494,494,399,455","1,612,361,815,315","4,544,900,252,204","565,121,897","6,157,827,189,416"
'2/2020,,"5,752,812,602,141",,"2,230,844,238,364","33,981,040,497","20,020,398,887","-183,784,819,938","1,004,456,450,302",,"8,858,329,910,253","-948,596,148,539","-1,718,668,196,728","1,354,008,963,653","79,812,033,039",,"-878,342,759,078","-473,468,681,901",,"-282,581,336,690","5,990,493,784,009",,"-5,938,701,026,377","25,745,550,963","-4,635,956,218,794","1,369,018,341,468",,,"158,902,250,879","-9,020,991,101,861",,,,"35,468,812,730,160","-29,493,241,696,208",,"-12,939,073,124",,"5,962,631,960,828","2,932,134,642,976","4,544,900,252,204","2,554,731,229","7,479,589,626,409"
'3/2020,,"10,024,684,238,169",,"3,412,192,156,911","38,017,760,238","62,866,367,336","-324,795,854,405","1,545,265,892,130",,"14,758,230,560,379","-2,862,438,234,990","-1,587,182,179,059","966,121,289,902","123,085,334,739",,"-1,397,751,294,926","-741,123,556,303",,"-306,628,318,632","8,952,313,601,110",,"-7,824,165,145,433","27,362,861,766","-9,738,573,971,594","2,275,365,593,989",,,"234,187,799,383","-15,025,822,861,889",,"2,400,000,000",,"57,378,996,681,622","-48,821,614,325,586",,"-1,406,038,410,745",,"7,153,743,945,291","1,080,234,684,512","4,544,900,252,204","3,413,730,299","5,628,548,667,015"
'4/2020,,"15,354,933,535,903",,"4,798,664,198,100","28,314,185,442","52,869,910,972","-527,610,046,005","2,207,297,067,268",,"21,914,468,851,680","-3,498,165,854,666","-7,061,024,985,401","1,737,154,618,998","-15,248,416,439",,"-2,030,972,429,884","-1,714,077,936,702",,"-328,363,376,705","9,003,770,470,881",,"-9,370,234,306,842","35,819,307,501","-12,648,955,968,571","4,986,124,143,558",,,"392,500,423,931","-16,604,746,400,423",,"2,700,000,000",,"81,625,368,485,716","-64,157,591,086,774",,"-1,419,473,748,758",,"16,051,003,650,184","8,450,027,720,642","4,544,900,252,204","6,073,799,680","13,001,001,772,526"
'1/2021,,"7,690,213,194,491",,"1,454,908,359,540","28,321,364,644","-2,552,250,936","-722,585,925,436","621,546,963,567",,"9,069,851,705,870","-3,364,015,325,784","-1,849,087,719,759","-758,802,388,718","-52,531,887,685",,"-638,893,494,939","-494,678,519,443",,"-318,492,238,077","1,593,350,131,465",,"-1,399,236,188,679","1,780,127,545","-7,952,254,523,391","5,213,877,851,025",,"827,030,264,967","266,641,688,553","-3,042,160,779,980",,"3,130,000,000",,"30,267,142,223,530","-28,495,551,029,999",,"-6,724,946,432",,"1,767,996,247,099","319,185,598,584","13,696,099,298,228","3,344,296,902","14,018,629,193,714"
'2/2021,,"18,039,665,382,617",,"2,965,408,225,327","-5,409,478,179","-6,560,474,244","-1,034,718,185,388","1,221,208,356,473",,"21,179,593,826,606","-1,813,670,815,224","-14,180,461,064,099","10,576,471,551,438","-35,671,200,988",,"-1,264,885,304,645","-645,501,687,590",,"-358,988,128,769","13,456,887,176,729",,"-5,395,591,818,418","9,750,418,010","-18,897,401,137,261","9,927,089,030,853",,"827,030,264,967","465,218,944,497","-13,063,904,297,352",,"3,130,000,000",,"58,875,987,383,330","-5,664,553,796,882,730,000,000,000,000",,"-1,677,678,656,652",,"555,900,757,851","948,883,637,228","13,696,099,298,228","-799,203,799","14,644,183,731,657"
'3/2021,,"29,018,421,452,314",,"4,519,864,472,052","-4,176,296,068","-216,539,697,709","-1,344,902,003,189","1,896,316,261,681",,"33,868,984,189,081","-6,481,539,531,283","-20,449,464,943,993","9,598,233,522,070","-124,168,572,773",,"-1,941,377,140,341","-769,315,914,829",,"-406,599,242,296","13,294,752,365,636",,"-7,789,656,450,855","32,218,334,227","-31,701,121,591,469","18,493,316,652,771",,"827,030,264,967","775,178,194,152","-19,363,034,596,207",,"9,330,000,000",,"92,449,972,220,541","-85,015,361,515,795",,"-1,679,229,099,561",,"5,764,711,605,185","-303,570,625,386","13,696,099,298,228","-16,042,573,487","13,376,486,099,355"
'4/2021,,"37,056,777,714,190",,"6,086,647,044,452","182,856,062,484","41,884,120,126","-1,350,343,114,016","2,525,823,258,237",,"44,543,645,085,473","-3,039,321,829,925","-16,836,143,198,500","9,211,396,637,770","-479,941,430,833",,"-2,584,829,328,986","-2,733,890,960,903",,"-614,757,711,663","27,466,157,262,433",,"-12,115,900,493,423","65,556,074,391","-4,124,198,833,396,910,000,000,000,000","31,256,912,522,291",,"827,030,264,967","804,352,655,887","-20,404,037,309,856",,"10,630,000,000",,"124,733,392,503,224","-12,131,083,070,529,900,000,000,000,000",,"-1,703,744,746,992",,"1,729,447,050,934","8,791,567,003,511","13,696,099,298,228","-16,290,739,609","22,471,375,562,130"
'1/2022,,,,"1,677,611,364,569","-59,950,204,308","150,783,920,541","-951,283,456,248","596,932,887,294",,"10,336,198,367,755","665,168,430,681","2,157,183,286,223","-2,993,606,607,312","-95,129,210,608",,"-590,981,613,068","-578,723,718,398",,"-513,100,948,690","8,387,007,986,583",,"-6,026,975,731,178","4,117,528,200","-19,318,517,776,498","9,738,241,951,928",,,"911,474,085,424","-14,691,659,942,124",,"525,000,000",,"34,800,675,129,353","-31,899,973,544,079",,"-9,489,245,406",,"2,891,737,339,868","-3,412,914,615,673","22,471,375,562,130","1,553,643,844","19,060,014,590,301"
'2/2022,,"13,301,444,345,235",,"3,357,735,889,064","533,348,301,153","794,032,034,984","-902,390,879,490","1,314,285,612,778",,"18,398,455,303,724","-1,327,843,360,376","-1,593,987,112,570,210,000,000,000,000","4,181,309,380,046","-248,001,982,505",,"-1,277,895,458,700","-853,452,517,135",,"-651,772,680,253","2,280,927,559,099",,"-10,109,165,768,830","10,351,767,421","-30,265,168,544,803","22,845,613,287,488",,,"769,161,274,453","-16,749,207,984,271",,"1,825,000,000",,"83,660,285,256,417","-71,310,331,889,363",,"-13,731,561,279",,"12,338,046,805,775","-2,130,233,619,397","22,471,375,562,130","-15,943,920,621","20,325,198,022,112"
'3/2022,,"12,001,489,049,039",,"5,091,717,469,740","670,576,115,626","1,340,852,387,831","-1,387,754,675,763","2,150,986,144,054",,"19,867,866,490,527","2,459,820,304,239","-1,046,354,790,753","-10,854,768,294,057","38,457,124,037",,"-2,102,158,663,227","-853,752,321,339",,"-756,906,969,014","6,752,202,880,413",,"-14,178,348,449,759","11,341,032,006","-48,284,643,546,487","38,819,826,440,959",,,"1,276,777,720,198","-22,355,046,803,083",,"1,825,000,000",,"115,166,486,571,253","-107,901,539,396,389",,"-2,254,241,376,174",,"5,012,530,798,690","-10,590,313,123,980","22,471,375,562,130","345,908,515","11,881,408,346,665"
'4/2022,,"9,922,941,127,283",,"6,814,404,949,003","1,011,962,330,885","187,368,336,679","-1,821,540,582,642","3,083,638,131,818",,"19,198,774,293,025","4,723,362,381,423","8,022,154,725,141","-14,680,619,753,205","-18,549,678,354",,"-3,034,893,358,938","-1,241,620,018,691",,"-776,811,527,307","12,191,797,063,095",,"-17,966,282,081,444","13,651,711,832","-55,505,793,882,381","47,412,529,370,171","-371,644,175,956",,"1,705,766,206,375","-24,711,772,851,403",,"4,075,000,000",,"135,256,685,147,016","-134,630,557,238,634",,"-2,247,373,961,086",,"-1,617,171,052,704","-14,137,146,841,012","22,471,375,562,130","-9,639,800,891","8,324,588,920,227"
'1/2023,,"532,042,789,767",,"1,648,185,800,262","-941,109,168,744","-70,212,986,899","-1,917,697,628,031","989,588,839,615",,"240,797,645,970","-3,812,875,642,667","1,129,379,609,411","2,852,581,088,093","118,008,526,448",,"-1,008,860,534,438","-406,872,658,989",,"-215,138,161,878","-1,102,980,128,050",,"-2,818,742,500,442","85,782,979,543","-11,146,363,396,151","9,915,617,722,611",,,"1,791,187,123,736","-2,172,518,070,703",,"500,000,000",,"29,747,246,722,377","-26,927,061,343,325",,"-67,273,509",,"2,820,618,105,543","-454,880,093,210","8,324,588,920,227","-1,257,260,691","7,868,451,566,326"
'2/2023,,"2,233,929,743,533",,"3,316,590,711,239","-960,907,350,890","113,537,583,548","-1,115,281,428,010","2,018,155,811,047",,"5,606,025,070,467","-4,596,573,615,873","3,462,949,944,421","1,668,809,374,261","33,619,316,352",,"-2,040,271,649,464","-416,492,334,827",,"-297,803,456,356","3,420,262,648,981",,"-5,699,210,190,027","93,403,773,622","-19,966,517,793,411","23,311,762,330,550",,,"1,115,628,044,105","-1,144,933,835,161",,,"1,825,000,000","-1,250,000,000","59,927,494,761,234","-57,270,435,437,207",,,"2,655,432,205,146","4,930,761,018,966","8,324,588,920,227","-2,494,852,954","13,252,855,086,239"
'3/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'4/2023,,"7,792,728,743,173",,"6,773,413,030,280","-1,094,040,077,724","293,673,925,630","-1,075,825,210,634","3,585,077,683,881",,"16,275,028,094,606","-5,603,662,359,496","1,026,153,341,936","2,586,097,803,129","-74,648,981,785",,"-3,660,450,221,870","-559,992,514,733",,"-516,882,532,682","9,471,642,629,105",,"-17,352,868,728,796","207,695,356,410","-39,788,122,821,759","43,287,196,530,733",,"-526,054,585,230","1,370,872,193,753","-12,801,282,054,889",,"700,000,000","-2,343,640,000","127,142,094,869,216","-119,859,255,266,864",,"-8,013,794,634",,"7,273,182,167,718","3,943,542,741,934","8,324,588,920,227","-730,501,277","12,267,401,160,884"
'1/2024,,"3,261,215,356,873",,"1,721,816,264,528","10,669,816,792","182,794,183,008","-1,462,291,190,778","635,618,987,620",,"4,349,823,418,043","-2,549,940,352,860","-1,850,079,271,655","3,121,851,473,748","-450,426,491,575",,"-621,521,923,912","-849,105,119,441",,"-401,971,341,603","748,630,390,745",,"-14,797,827,829,267","1,139,714,227,578","-8,465,849,467,273","8,374,734,396,151",,,"1,125,274,432,093","-12,623,954,240,718",,"40,000,000,000","-100,000,000","44,109,437,021,720","-32,099,643,158,043",,"638,363,554",,"12,050,332,227,231","175,008,377,258","12,252,001,160,884","1,878,498,095","12,428,888,036,237"
'2/2024,,"6,994,441,026,638",,"3,457,533,609,333","172,692,336,517","152,503,577,089","-1,464,218,579,725","1,199,753,348,133",,"10,512,705,317,985","-3,235,323,066,896","-1,039,047,575,147","-416,689,177,844","-403,611,590,740",,"-1,235,048,376,365","-872,708,896,767",,"-509,758,611,539","2,800,518,022,687",,"-18,837,200,263,300","1,152,590,039,662","-15,379,531,056,314","22,103,399,793,411",,,"1,290,653,417,754","-9,670,088,068,787",,"40,000,000,000","-102,420,000","86,063,583,337,331","-78,455,897,618,790",,"-1,020,374,096",,"7,646,562,924,445","776,992,878,345","12,252,001,160,884","3,043,814,054","13,032,037,853,283"
'3/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'4/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
